column,count,mean,std,min,25%,50%,75%,max,count,top,freq,unique,unique,type,nulls
OFFSET,null,null,null,null,null,null,null,null,3028,10 m North of,49,"[nan '60 NORTH OF' '100 m East of' '7 m West of' '51 m South of'
 '43 m West of' '5 m North of' '8 m North of' '6 m West of' '80 m West of'
 '4 m North of' '10 m East of' '25 m West of' '18 m East of'
 '41 m South of' '50 m East of' '39 m East of' '10 m South of'
 '76 m West of' '50 m West of' '97 m South of' '48 m East of'
 '30 m South of' '500 m East of' '1 m North of' '58 m North of'
 '500 m North of' '12 m West of' '100 m South of' '17 m West of'
 '280 m East of' '60 m East of' '30 m North of' '234 m South of'
 '450 m West of' '314 m  of' '192 m East of' '2 m North of' '1 m West of'
 '44 m North of' '25 m East of' '132 m West of' '200 m North of'
 '65 m East of' '27 m East of' '64 m North of' '28 m East of'
 '10 m West of' '85 m West of' '55 m West of' '200 m South of'
 '40 m West of' '26 m South of' '57 m East of' '9 m West of'
 '4 m South of' '3 m East of' '73 m West of' '35 m North of'
 '167 m East of' '12 m East of' '15 m West of' '18 m South of'
 '40 m North of' '9 m East of' '18 m North of' '545 m North of'
 '5 m East of' '80 m East of' '300 m East of' '38 m North of'
 '20 m North of' '1 m East of' '5 m West of' '11 m South of'
 '5 m South of' '100 m West of' '40 m East of' '22 m East of'
 '4 m East of' '25 m South of' '6 m South of' '20 m South of'
 '10 m North of' '17 m North of' '33 m West of' '374 m West of'
 '185 m South of' '98 m West of' '37 m West of' '3 m West of'
 '50 m South of' '12 m South of' '31 m North of' '20 m East of'
 '24 m South of' '125 m East of' '9 m South of' '30 m East of'
 '20 m West of' '40 m South of' '53 m South of' '24 m West of'
 '2 m West of' '165 m South of' '24 m  of' '15 m East of' '220 m South of'
 '100 m North of' '55 m North of' '14 m West of' '3 m South of'
 '23 m East of' '42 m South of' '58 m West of' '46 m North of'
 '4 m West of' '70 m West of' '15 m South of' '246 m North of'
 '49 m East of' '33 m East of' '60 m North of' '358 m North of'
 '64 m West of' '64 m East of' '16 m West of' '6 m North of'
 '3 m North of' '35 m East of' '3 m  of' '120 m West of' '94 m North of'
 '51 m East of' '245 m East of' '172 m East of' '16 m North of'
 '30 m West of' '39 m South of' '13 m North of' '450 m East of' '25M'
 '1 m South of' '81 m West of' '11 m West of' '67 m South of'
 '99 m South of' '18 m West of' '60 m West of' '14 m East of'
 '120 m North of' '14 m North of' '19 m South of' '90 m North of'
 '65.6 M E of' '13 m West of' '105 m North of' '15 m North of'
 '58 m South of' '8 m South of' '27 m West of' '137 m South of'
 '7 m North of' '12.5 M S of' '130 m East of' '121 m North of'
 '282 m South of' '40 m East' '19 m East of' '134 m West of' '7 m East of'
 '119 m West of' '80 m South of' '16 m East of' '196 m North of'
 '265 m East of' '130 m South of' '70 m East of' '57 m North of'
 '90 m West of' '85 m South of' '37 m South of' '51 m West of'
 '11 m South of Light Post 300' '219 m North of' '139 m South of'
 '66 m North of' '68 m North of' '368 m East of' '120 m South of'
 '45 m West of' '11 m North of' '143 m West of' '92.1 m south'
 '32 m East of' '65 m South of' '200 m West of' '75 m East of'
 '37 m East of' '110 m South of' '2 m South of' '150 m East of'
 '420 m West of' '324 m East of' '63 m West of' '50 m North of'
 '72 m North of' '55 m East of' '160 m West of' '23 m West of'
 '458 m West of' '2 m East of' '400 m North of' '90 m South of'
 '34 m South of' '7 m South of MARTIN GROVE RD' '10 m west' '150 m East'
 '50 m North' '47 m East of' '47 m West of'
 '100 m North of DONALBERT ROAD' '29 m East of' '700 m East of' 'north of'
 '80 m North of' '34 m East of' '8 m West of' '63 m North of'
 '300 m South of' '250 m West of' '69 m West of' '98 m South of'
 '240 m North of' '107 m East of' '150 m West of' '20 m  of'
 '95 m South of' '500 m West of' '42 m East of' '7 m South of'
 '18 m South of BRANDON AV' '30  m East of' '38 m East of' '120 m East of'
 '213 m West of' '71 m West of' '84 m West of' '8 m East of'
 '131 m South of' '51 m North of' '76 m South of' '84 m South of'
 '177 m West of' '297 m East of' '45 m South of' '88 m North of'
 '200 m East of' '150 m North of' '21 m North of' '99 m East of'
 '21 m East of' '69 m North of' '35 m South of' '233 m East of'
 '9 m North of' '101 m South of' '65 m West of' '29 m West of'
 '112 m North' '6.5 m West of' '8.6 m East of' '386 m South of'
 '17 m East of' '176 m South of' '6 m East of' '26 m West of'
 '12 m North of' '900 m West of' '252 m South of' '113 m North of'
 '20 m North' '350 m West' '350 m North of' '185 m East of' '49 m West of'
 '74 m South of' '16 m South of' '99 m West of' '11 m East of'
 '52 m East of' '28 m North of' '45 m  of' '192 m West of' '60 m South of'
 '365 m East of REGATTA ROAD' '13 m East of' '31 m West of'
 '81 m North of' '37 m North of' '59 m North of' '17 meters south'
 '107 m North of' '180 m East of' '147 M North' '44 m West of'
 '33 m North of' '620 HURON ST' '45 m North of' '70 m South of'
 '400 m East of' '77 m South of' '75 m North of' '87 m East of'
 '23 m North of' '297 m South of' '73 m North of' '31.8 m East of'
 '158 m South of' '75 m East' '31 m East of' '92 m East of' '41 m West of'
 '140 m East of' '84 m North of' '153 m North of' '22 m West of'
 '378 m South of' '34 meters south' '52 m West of' '338 m West of'
 '150 m South of' '403 m N of' '408 m East of' 'E of' 'W of' '195 m South'
 '42 m South' '260 m West of' '600 m East' '13 m South of' '264 m West of'
 '151 m West of' '235 m South of' '90 m East of ALLANFORD RD'
 '169 m South of' '119 m south' '425 m East of' 'LEGGETT AVE' 'Near #685'
 '132 m South of' '900 m East of' '44 m East of' '27 m South of'
 '190 metre north of' '57 m West of' '90 m East of' '24 m East of'
 '63 m East of' '170 m East of' '130 m West of' '82 m West of'
 '25 m North of' '5 m  of' '25 m West of YONGE ST' '365 m East of'
 '135 m West of' '26 m East of' '110 m West of' '3 metres east'
 '233 m South of' '81 m South of' '305 m West of' '52 m North of'
 '250 m South of' '160 m South of' '42.9 M EAST OF' '89 m East of'
 '159 m West of' '36 m West of' '43 m East of' '54 m East of'
 '20 metres north' '4 m  of' '28 m West of' '110 m East of'
 '290 m East of' '155 m East of' '100 m south' '94 m East of'
 '73 m South of' '89.5 m south' '39 m West of' '36 m East of'
 '78 m South of' '189 m East of' '6 m  of' '56 m South of St REGIS CR'
 'No.4600 (Driveway)' '96 m West of' '34 m West of' '280 m North of'
 '163 m North of' '666 m South of' '112 m South of' '48 m North of'
 '83 m West of' '93 m North of' '168 m South of' '164 m South of'
 '2 m  of' '66 m West of' '75 m South of' '191 m North of' '103 m West of'
 '102 m North of' '800 m South of' '62 m West of' 'GERRARD ST E'
 '61 m North of' '21 m West of' '339 m West of' '53 m West of'
 '160 m East of' '332 m West of' '284 m North of' '95 m East of'
 '13 m  of' '320 m North of' '270 m North of' '64 m South of'
 '19 m North of' '120 M WEST OF MIDLAND AVE' 'JUTLAND RD' '38 m South of'
 '1 km North of' '100 m South of SHEPPARD AVE W' '21 m west of'
 '55 m South of' '101 m East of' '160 m North of' '430 m South of'
 '92 m North of' '58 m East of' '54 m West of']",444,float64,0
ROAD_CLASS,null,null,null,null,null,null,null,null,17112,Major Arterial,12471,"['Major Arterial' 'Local' 'Minor Arterial' nan 'Collector' 'Other'
 'Pending' 'Laneway' 'Expressway' 'Expressway Ramp' 'Major Arterial Ramp']",10,object,95
DISTRICT,null,null,null,null,null,null,null,null,17453,Toronto and East York,5939,['Toronto and East York' 'Etobicoke York' 'Scarborough' 'North York' nan],4,object,5450
LOCCOORD,null,null,null,null,null,null,null,null,17393,Intersection,11561,"['Intersection' 'Mid-Block' 'Exit Ramp Westbound' 'Exit Ramp Southbound'
 nan 'Mid-Block (Abnormal)' 'Entrance Ramp Westbound'
 'Park, Private Property, Public Lane']",7,object,34
ACCLOC,null,null,null,null,null,null,null,null,12038,At Intersection,8347,"['Intersection Related' nan 'At Intersection' 'Non Intersection'
 'At/Near Private Drive' 'Overpass or Bridge' 'Underpass or Tunnel'
 'Private Driveway' 'Trail' 'Laneway']",9,object,18
TRAFFCTL,null,null,null,null,null,null,null,null,17454,No Control,8421,"['No Control' 'Stop Sign' 'Traffic Signal' 'Pedestrian Crossover'
 'Traffic Controller' nan 'Yield Sign' 'School Guard' 'Traffic Gate'
 'Police Control' 'Streetcar (Stop for)']",10,object,0
VISIBILITY,null,null,null,null,null,null,null,null,17470,Clear,15069,"['Clear' 'Rain' 'Other' 'Snow' 'Strong wind' 'Freezing Rain'
 'Fog, Mist, Smoke, Dust' 'Drifting Snow' nan]",8,object,23
LIGHT,null,null,null,null,null,null,null,null,17488,Daylight,10032,"['Dark' 'Dusk' 'Daylight' 'Dark, artificial' 'Dawn' 'Dusk, artificial'
 'Dawn, artificial' 'Daylight, artificial' 'Other']",9,object,7
RDSFCOND,null,null,null,null,null,null,null,null,17465,Dry,13985,"['Wet' 'Dry' 'Other' 'Slush' 'Ice' 'Loose Snow' 'Packed Snow'
 'Spilled liquid' 'Loose Sand or Gravel' nan]",9,object,4
ACCLASS,null,null,null,null,null,null,null,null,17481,Non-Fatal Injury,15032,['Non-Fatal Injury' 'Fatal' 'Property Damage Only' nan],3,object,14
